Supergroup,sg_name,Group,g_name,Subgroup,sug_name,Code,Name,RegionOrCountry
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000026,Allerdale,North West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000048,Christchurch,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,W06000003,Conwy,Wales
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E06000053,Isles of Scilly,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E06000052,Cornwall
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000163,Craven,Yorkshire and The Humber
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000040,East Devon,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000049,East Dorset,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000137,East Lindsey,East Midlands
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000030,Eden,North West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000119,Fylde,North West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,W06000001,Isle of Anglesey,Wales
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000063,Lewes,South East
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000043,North Devon,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000147,North Norfolk,East
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,W06000009,Pembrokeshire,Wales
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000051,Purbeck,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000064,Rother,South East
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000044,South Hams,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000031,South Lakeland,North West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000045,Teignbridge,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000076,Tendring,East
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000046,Torridge,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000206,Waveney,East
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000047,West Devon,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000052,West Dorset,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000191,West Somerset,South West
1,English and Welsh Countryside,1a,Rural Coastal and Amenity,1a1,Rural Coastal and Amenity,E07000128,Wyre,North West
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000200,Babergh,East
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000143,Breckland,East
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E06000011,East Riding of Yorkshire,Yorkshire and The Humber
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E06000019,"Herefordshire, County of",West Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000133,Melton,East Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000187,Mendip,South West
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000042,Mid Devon,South West
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000203,Mid Suffolk,East
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000175,Newark and Sherwood,East Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000050,North Dorset,South West
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000139,North Kesteven,East Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000188,Sedgemoor,South West
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E06000051,Shropshire,West Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000141,South Kesteven,East Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000149,South Norfolk,East
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000189,South Somerset,South West
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000197,Stafford,West Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b1,Traditional Rural,E07000142,West Lindsey,East Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b2,Prospering Rural,E07000079,Cotswold,South West
1,English and Welsh Countryside,1b,Rural Hinterland,1b2,Prospering Rural,E07000235,Malvern Hills,West Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b2,Prospering Rural,E07000091,New Forest,South East
1,English and Welsh Countryside,1b,Rural Hinterland,1b2,Prospering Rural,E06000024,North Somerset,South West
1,English and Welsh Countryside,1b,Rural Hinterland,1b2,Prospering Rural,E06000017,Rutland,East Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b2,Prospering Rural,E07000221,Stratford-on-Avon,West Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b2,Prospering Rural,E07000082,Stroud,South West
1,English and Welsh Countryside,1b,Rural Hinterland,1b2,Prospering Rural,E07000205,Suffolk Coastal,East
1,English and Welsh Countryside,1b,Rural Hinterland,1b2,Prospering Rural,E07000083,Tewkesbury,South West
1,English and Welsh Countryside,1b,Rural Hinterland,1b2,Prospering Rural,E07000065,Wealden,South East
1,English and Welsh Countryside,1b,Rural Hinterland,1b2,Prospering Rural,E07000238,Wychavon,West Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b3,Remoter Rural,E07000144,Broadland,East
1,English and Welsh Countryside,1b,Rural Hinterland,1b3,Remoter Rural,W06000010,Carmarthenshire,Wales
1,English and Welsh Countryside,1b,Rural Hinterland,1b3,Remoter Rural,W06000004,Denbighshire,Wales
1,English and Welsh Countryside,1b,Rural Hinterland,1b3,Remoter Rural,E07000035,Derbyshire Dales,East Midlands
1,English and Welsh Countryside,1b,Rural Hinterland,1b3,Remoter Rural,E07000080,Forest of Dean,South West
1,English and Welsh Countryside,1b,Rural Hinterland,1b3,Remoter Rural,E07000164,Hambleton,Yorkshire and The Humber
1,English and Welsh Countryside,1b,Rural Hinterland,1b3,Remoter Rural,E07000146,King's Lynn and West Norfolk,East
1,English and Welsh Countryside,1b,Rural Hinterland,1b3,Remoter Rural,W06000021,Monmouthshire,Wales
1,English and Welsh Countryside,1b,Rural Hinterland,1b3,Remoter Rural,E06000057,Northumberland,North East
1,English and Welsh Countryside,1b,Rural Hinterland,1b3,Remoter Rural,W06000023,Powys,Wales
1,English and Welsh Countryside,1b,Rural Hinterland,1b3,Remoter Rural,E07000167,Ryedale,Yorkshire and The Humber
1,English and Welsh Countryside,1c,Rural England,1c1,Established Rural,E07000234,Bromsgrove,West Midlands
1,English and Welsh Countryside,1c,Rural England,1c1,Established Rural,E07000069,Castle Point,East
1,English and Welsh Countryside,1c,Rural England,1c1,Established Rural,E07000029,Copeland,North West
1,English and Welsh Countryside,1c,Rural England,1c1,Established Rural,E07000074,Maldon,East
1,English and Welsh Countryside,1c,Rural England,1c1,Established Rural,E07000038,North East Derbyshire,East Midlands
1,English and Welsh Countryside,1c,Rural England,1c1,Established Rural,E07000135,Oadby and Wigston,East Midlands
1,English and Welsh Countryside,1c,Rural England,1c1,Established Rural,E07000124,Ribble Valley,North West
1,English and Welsh Countryside,1c,Rural England,1c1,Established Rural,E07000075,Rochford,East
1,English and Welsh Countryside,1c,Rural England,1c1,Established Rural,E07000196,South Staffordshire,West Midlands
1,English and Welsh Countryside,1c,Rural England,1c1,Established Rural,E07000198,Staffordshire Moorlands,West Midlands
1,English and Welsh Countryside,1c,Rural England,1c1,Established Rural,E07000127,West Lancashire,North West
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000032,Amber Valley,East Midlands
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000171,Bassetlaw,East Midlands
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E06000049,Cheshire East,North West
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E06000050,Cheshire West and Chester,North West
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000118,Chorley,North West
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000151,Daventry,East Midlands
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000152,East Northamptonshire,East Midlands
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000087,Fareham,South East
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000010,Fenland,East
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000131,Harborough,East Midlands
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000037,High Peak,East Midlands
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000132,Hinckley and Bosworth,East Midlands
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000194,Lichfield,West Midlands
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000218,North Warwickshire,West Midlands
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000134,North West Leicestershire,East Midlands
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000169,Selby,Yorkshire and The Humber
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000039,South Derbyshire,East Midlands
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000140,South Holland,East Midlands
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000126,South Ribble,North West
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000204,St Edmundsbury,East
1,English and Welsh Countryside,1c,Rural England,1c2,Rural Hub Towns,E07000239,Wyre Forest,West Midlands
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000041,Angus,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000035,Argyll and Bute,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000005,Clackmannanshire,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000006,Dumfries and Galloway,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000008,East Ayrshire,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000010,East Lothian,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000014,Falkirk,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000015,Fife,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000017,Highland,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000018,Inverclyde,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000019,Midlothian,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000020,Moray,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000021,North Ayrshire,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000044,North Lanarkshire,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000024,Perth and Kinross,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000038,Renfrewshire,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000026,Scottish Borders,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000028,South Ayrshire,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000029,South Lanarkshire,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000030,Stirling,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000039,West Dunbartonshire,Scotland
2,Scottish and Northern Irish Countryside,2a,Rural Scotland,2a1,Rural Scotland,S12000040,West Lothian,Scotland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b1,Rural Northern Ireland,N09000001,Antrim and Newtownabbey,Northern Ireland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b1,Rural Northern Ireland,N09000002,"Armagh, Banbridge and Craigavon",Northern Ireland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b1,Rural Northern Ireland,N09000004,Causeway Coast and Glens,Northern Ireland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b1,Rural Northern Ireland,N09000005,Derry and Strabane,Northern Ireland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b1,Rural Northern Ireland,N09000006,Fermanagh and Omagh,Northern Ireland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b1,Rural Northern Ireland,N09000007,Lisburn and Castlereagh,Northern Ireland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b1,Rural Northern Ireland,N09000008,Mid and East Antrim,Northern Ireland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b1,Rural Northern Ireland,N09000009,Mid Ulster,Northern Ireland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b1,Rural Northern Ireland,N09000010,"Newry, Mourne and Down",Northern Ireland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b1,Rural Northern Ireland,N09000011,North Down and Ards,Northern Ireland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b2,Remoter Scotland and Glasgow Suburbs,S12000034,Aberdeenshire,Scotland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b2,Remoter Scotland and Glasgow Suburbs,S12000013,Comhairlie nan Eilean Siar,Scotland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b2,Remoter Scotland and Glasgow Suburbs,S12000045,East Dunbartonshire,Scotland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b2,Remoter Scotland and Glasgow Suburbs,S12000011,East Renfrewshire,Scotland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b2,Remoter Scotland and Glasgow Suburbs,S12000023,Orkney Islands,Scotland
2,Scottish and Northern Irish Countryside,2b,"Rural Northern Ireland, Remoter Scotland and Glasgow Suburbs",2b2,Remoter Scotland and Glasgow Suburbs,S12000027,Shetland Islands,Scotland
3,London Cosmopolitan,3a,London Cosmopolitan Suburbia,3a1,Cosmopolitan North London,E09000005,Brent,London
3,London Cosmopolitan,3a,London Cosmopolitan Suburbia,3a1,Cosmopolitan North London,E09000009,Ealing,London
3,London Cosmopolitan,3a,London Cosmopolitan Suburbia,3a1,Cosmopolitan North London,E09000018,Hounslow,London
3,London Cosmopolitan,3a,London Cosmopolitan Suburbia,3a1,Cosmopolitan North London,E09000025,Newham,London
3,London Cosmopolitan,3a,London Cosmopolitan Suburbia,3a1,Cosmopolitan North London,E09000031,Waltham Forest,London
3,London Cosmopolitan,3a,London Cosmopolitan Suburbia,3a2,Cosmopolitan South London,E09000011,Greenwich,London
3,London Cosmopolitan,3a,London Cosmopolitan Suburbia,3a2,Cosmopolitan South London,E09000023,Lewisham,London
3,London Cosmopolitan,3a,London Cosmopolitan Suburbia,3a2,Cosmopolitan South London,E09000024,Merton,London
3,London Cosmopolitan,3b,London Cosmopolitan Central,3b1,Cosmopolitan Inner London,E09000007,Camden,London
3,London Cosmopolitan,3b,London Cosmopolitan Central,3b1,Cosmopolitan Inner London,E09000012,Hackney,London
3,London Cosmopolitan,3b,London Cosmopolitan Central,3b1,Cosmopolitan Inner London,E09000013,Hammersmith and Fulham,London
3,London Cosmopolitan,3b,London Cosmopolitan Central,3b1,Cosmopolitan Inner London,E09000019,Islington,London
3,London Cosmopolitan,3b,London Cosmopolitan Central,3b1,Cosmopolitan Inner London,E09000022,Lambeth,London
3,London Cosmopolitan,3b,London Cosmopolitan Central,3b1,Cosmopolitan Inner London,E09000028,Southwark,London
3,London Cosmopolitan,3b,London Cosmopolitan Central,3b1,Cosmopolitan Inner London,E09000030,Tower Hamlets,London
3,London Cosmopolitan,3b,London Cosmopolitan Central,3b1,Cosmopolitan Inner London,E09000032,Wandsworth,London
3,London Cosmopolitan,3b,London Cosmopolitan Central,3b2,Cosmopolitan Heart of London,E09000001,City of London/Westminster,London
3,London Cosmopolitan,3b,London Cosmopolitan Central,3b2,Cosmopolitan Heart of London,E09000033,City of London/Westminster,London
3,London Cosmopolitan,3b,London Cosmopolitan Central,3b2,Cosmopolitan Heart of London,E09000014,Haringey,London
3,London Cosmopolitan,3b,London Cosmopolitan Central,3b2,Cosmopolitan Heart of London,E09000020,Kensington and Chelsea,London
4,Suburban Traits,4a,Growth Areas and Cities,4a1,City Periphery,E09000004,Bexley,London
4,Suburban Traits,4a,Growth Areas and Cities,4a1,City Periphery,E09000006,Bromley,London
4,Suburban Traits,4a,Growth Areas and Cities,4a1,City Periphery,E09000016,Havering,London
4,Suburban Traits,4a,Growth Areas and Cities,4a1,City Periphery,E07000098,Hertsmere,East
4,Suburban Traits,4a,Growth Areas and Cities,4a1,City Periphery,E07000092,Rushmoor,South East
4,Suburban Traits,4a,Growth Areas and Cities,4a1,City Periphery,E06000033,Southend-on-Sea,East
4,Suburban Traits,4a,Growth Areas and Cities,4a1,City Periphery,E07000213,Spelthorne,South East
4,Suburban Traits,4a,Growth Areas and Cities,4a1,City Periphery,E09000029,Sutton,London
4,Suburban Traits,4a,Growth Areas and Cities,4a1,City Periphery,E08000009,Trafford,North West
4,Suburban Traits,4a,Growth Areas and Cities,4a1,City Periphery,E07000103,Watford,East
4,Suburban Traits,4a,Growth Areas and Cities,4a1,City Periphery,E07000217,Woking,South East
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E06000055,Bedford,East
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E08000032,Bradford,Yorkshire and The Humber
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E07000095,Broxbourne,East
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E07000226,Crawley,South East
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E07000107,Dartford,South East
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E06000015,Derby,East Midlands
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E07000109,Gravesham,South East
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E07000073,Harlow,East
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E07000202,Ipswich,East
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E06000035,Medway,South East
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E06000042,Milton Keynes,South East
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E07000154,Northampton,East Midlands
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E06000031,Peterborough,East
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E08000028,Sandwell,West Midlands
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E07000243,Stevenage,East
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E06000030,Swindon,South West
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E06000034,Thurrock,East
4,Suburban Traits,4a,Growth Areas and Cities,4a2,Expanding Areas and Established Cities,E08000031,Wolverhampton,West Midlands
4,Suburban Traits,4b,Multicultural Suburbs,4b1,Multicultural Suburbs,E09000002,Barking and Dagenham,London
4,Suburban Traits,4b,Multicultural Suburbs,4b1,Multicultural Suburbs,E09000003,Barnet,London
4,Suburban Traits,4b,Multicultural Suburbs,4b1,Multicultural Suburbs,E09000008,Croydon,London
4,Suburban Traits,4b,Multicultural Suburbs,4b1,Multicultural Suburbs,E09000010,Enfield,London
4,Suburban Traits,4b,Multicultural Suburbs,4b1,Multicultural Suburbs,E09000015,Harrow,London
4,Suburban Traits,4b,Multicultural Suburbs,4b1,Multicultural Suburbs,E09000017,Hillingdon,London
